id,legislation,question,datetime,description
35,H R 2829,On Agreeing to the Amendment,9-Mar-2006,3:48 PM,
36,H R 2829,On Agreeing to the Amendment,9-Mar-2006,3:56 PM,
37,H R 2829,On Agreeing to the Amendment,9-Mar-2006,4:04 PM,
38,H R 2829,On Passage,9-Mar-2006,4:22 PM,To reauthorize the Office of National Drug Control Policy Act
39,H CON RES 354,On Motion to Suspend the Rules and Agree,14-Mar-2006,7:26 PM,Expressing the continued support of Congress for requiring an institution of higher education to provide military recruiters with access to the institution’s campus and students at least equal in quality and scope to that which is provided to any other employer in order to be eligible for the receipt of Federal funds.
40,H RES 725,On Ordering the Previous Question,15-Mar-2006,11:52 AM,"Providing for consideration of the bill (H.R. 4939) making emergency supplemental appropriations for the fiscal year ending September 30, 2006, and for other purposes"
41,H RES 725,On Agreeing to the Resolution,15-Mar-2006,12:03 PM,"Providing for consideration of the bill (H.R. 4939) making emergency supplemental appropriations for the fiscal year ending September 30, 2006, and for other purposes"
42,H CON RES 190,On Motion to Suspend the Rules and Agree,15-Mar-2006,12:11 PM,"Expressing the sense of Congress that the Russian Federation should fully protect the freedoms of all religious communities without distinction, whether registered and unregistered, as stipulated by the Russian Constitution and international standards."
43,H R 4939,On Agreeing to the Amendment,15-Mar-2006,6:00 PM,
44,H R 4944,On Motion to Suspend the Rules and Pass,15-Mar-2006,6:20 PM,Miscellaneous Trade and Technical Corrections Act
45,H R 4939,On Agreeing to the Amendment,16-Mar-2006,10:58 AM,
46,H R 4939,On Agreeing to the Amendment,16-Mar-2006,11:07 AM,
47,H R 4939,On Agreeing to the Amendment,16-Mar-2006,11:14 AM,
48,H R 4939,On Agreeing to the Amendment,16-Mar-2006,11:22 AM,
49,H R 4939,On Agreeing to the Amendment,16-Mar-2006,11:30 AM,
50,H R 4939,On Agreeing to the Amendment,16-Mar-2006,11:37 AM,
51,H R 4939,On Agreeing to the Amendment,16-Mar-2006,11:44 AM,
52,H R 4939,On Agreeing to the Amendment,16-Mar-2006,11:51 AM,
53,H R 4939,On Agreeing to the Amendment,16-Mar-2006,12:00 PM,
54,H R 4939,On Agreeing to the Amendment,16-Mar-2006,12:07 PM,
55,H R 4939,On Sustaining the Ruling of the Chair,16-Mar-2006,2:57 PM,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2006, and for other purposes"
56,H R 4939,On Agreeing to the Amendment,16-Mar-2006,3:08 PM,
57,H R 4939,On Agreeing to the Amendment,16-Mar-2006,3:12 PM,
58,H R 4939,On Agreeing to the Amendment,16-Mar-2006,3:16 PM,
59,H R 4939,On Agreeing to the Amendment,16-Mar-2006,3:20 PM,
60,H R 4939,On Agreeing to the Amendment,16-Mar-2006,5:32 PM,
61,H R 4939,On Agreeing to the Amendment,16-Mar-2006,5:36 PM,
62,H R 4939,On Agreeing to the Amendment,16-Mar-2006,5:40 PM,
63,H R 4939,On Agreeing to the Amendment,16-Mar-2006,5:45 PM,
64,H R 4939,On Motion to Recommit with Instructions,16-Mar-2006,6:09 PM,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2006, and for other purposes"
65,H R 4939,On Passage,16-Mar-2006,6:16 PM,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2006, and for other purposes"
66,S 2320,On Motion to Suspend the Rules and Pass,16-Mar-2006,6:25 PM,"To make available funds included in the Deficit Reduction Act of 2005 for the Low-Income Home Energy Assistance Program for fiscal year 2006, and for other purposes"
67,H R 4297,On Motion to Instruct Conferees,16-Mar-2006,6:33 PM,Tax Relief Extension Reconciliation Act
68,H R 4882,"On Motion to Suspend the Rules and Pass, as Amended",28-Mar-2006,6:54 PM,Vietnam Veterans Memorial Visitor Center Deadline Enforcement Act
69,S 2120,On Motion to Suspend the Rules and Pass,28-Mar-2006,7:11 PM,Milk Regulatory Equity Act
70,H RES 741,On Agreeing to the Resolution,29-Mar-2006,11:59 AM,Providing for consideration of the bill (H.R. 609) to amend and extend the Higher Education Act of 1965
71,H R 609,On Agreeing to the Amendment,29-Mar-2006,6:17 PM,
72,H R 609,On Agreeing to the Amendment,29-Mar-2006,6:26 PM,
73,H RES 736,On Motion to Suspend the Rules and Agree,29-Mar-2006,6:44 PM,Expressing the sense of the House of Representatives that legal action in Afghanistan against citizens who have already converted or plan to convert to other religions is deplorable and unjust.
74,H R 4297,On Motion to Instruct Conferees,29-Mar-2006,6:52 PM,Tax Relief Extension Reconciliation Act
75,H RES 742,On Agreeing to the Resolution,30-Mar-2006,11:44 AM,"Providing for the further consideration of H.R. 609, College Access and Opportunity Act"
76,H RES 746,On Motion to Table,30-Mar-2006,12:08 PM,Resolution Raising a Question of the Privileges of the House
77,H R 609,On Agreeing to the Amendment,30-Mar-2006,2:02 PM,
78,H R 609,On Agreeing to the Amendment,30-Mar-2006,2:10 PM,
79,H R 609,On Agreeing to the Amendment,30-Mar-2006,2:19 PM,
80,H R 609,On Agreeing to the Amendment,30-Mar-2006,2:27 PM,
81,H R 609,On Passage,30-Mar-2006,2:46 PM,College Access and Opportunity Act
82,H J RES 81,On Motion to Suspend the Rules and Pass,4-Apr-2006,6:53 PM,Providing for the appointment of Phillip Frost as a citizen regent of the Board of Regents of the Smithsonian Institution
83,H RES 703,On Motion to Suspend the Rules and Agree,4-Apr-2006,7:03 PM,Recognizing the 20th anniversary of the Chernobyl nuclear disaster and supporting continued efforts to control rediation and mitigate the adverse health consequences related to the Chernobyl nuclear power plant
84,H RES 744,On Motion to Suspend the Rules and Agree,4-Apr-2006,7:19 PM,Expressing support for the Good Friday Agreement of 1998 as the blueprint for lasting peace in Northern Ireland and support for continued police reform in Northern Ireland as a critical element in the peace process
85,H RES 755,On Ordering the Previous Question,5-Apr-2006,4:26 PM,"Providing for consideration of the bill (H.R. 513) to amend the Federal Election Campaign Act of 1971 to clarify when organizations described in section 527 of the Internal Revenue Code of 1986 must register as political committees, and for other purposes"
86,H RES 755,On Agreeing to the Resolution,5-Apr-2006,4:35 PM,"Providing for consideration of the bill (H.R. 513) to amend the Federal Election Campaign Act of 1971 to clarify when organizations described in section 527 of the Internal Revenue Code of 1986 must register as political committees, and for other purposes"
87,H RES 762,On Motion to Table,5-Apr-2006,4:56 PM,
88,H R 513,On Passage,5-Apr-2006,6:29 PM,527 Reform Act
89,H RES 692,"On Motion to Suspend the Rules and Agree, as Amended",5-Apr-2006,6:38 PM,Commending the people of the Republic of the Marshall Islands for the contributions and sacrifices they made to the U.S. nuclear testing program in the Marshall Islands
90,H R 3127,"On Motion to Suspend the Rules and Pass, as Amended",5-Apr-2006,6:46 PM,Darfur Peace and Accountability Act
91,H RES 766,On Ordering the Previous Question,6-Apr-2006,11:59 AM,"Providing for the consideration of H. Con. Res. 376, Congressional Budget for FY 2007"
92,H RES 766,On Agreeing to the Resolution,6-Apr-2006,12:06 PM,"Providing for the consideration of H. Con. Res. 376, Congressional Budget for FY 2007"
93,H R 2830,On Motion to Instruct Conferees,6-Apr-2006,6:56 PM,Pension Protection Act of 2005
94,H R 4297,On Motion to Instruct Conferees,6-Apr-2006,7:04 PM,Tax Relief Extension Reconciliation Act
95,H RES 578,On Motion to Suspend the Rules and Agree,6-Apr-2006,7:17 PM,Concerning the Government of Romania’s ban on intercountry adoptions and the welfare of orphaned or abandoned children in Romania
96,H CON RES 320,"On Motion to Suspend the Rules and Agree, as Amended",6-Apr-2006,7:26 PM,"Calling on the Government of the Socialist Republic of Vietnam to immediately and unconditionally release Dr. Pham Hong Son and other political prisoners and prisoners of conscience, and for other purposes"
97,H RES 737,On Motion to Suspend the Rules and Agree,6-Apr-2006,7:33 PM,"Supporting the goals and ideals of Financial Literacy Month, and for other purposes"
98,H RES 556,On Motion to Suspend the Rules and Agree,6-Apr-2006,7:40 PM,National Methamphetamine Prevention Week
99,H CON RES 366,On Motion to Suspend the Rules and Agree,6-Apr-2006,7:52 PM,"To congratulate the National Aeronautics and Space Administration on the 25th anniversary of the first flight of the Space Transport System, honor Commander John Young and the Pilot Robert Crippen, who flew the Space Shuttle Columbia on April 12-14, 1981, and to commend the men and women of NASA"
100,S J RES 28,On Motion to Suspend the Rules and Pass,25-Apr-2006,6:57 PM,Approving the location of the commemorative work in the District of Columbia honoring former President Dwight D. Eisenhower
101,H R 4709,"On Motion to Suspend the Rules and Pass, as Amended",25-Apr-2006,7:14 PM,Telephone Records and Privacy Protection Act
102,H RES 774,On Ordering the Previous Question,26-Apr-2006,2:19 PM,"Providing for consideration of the bill (H.R. 5020) to authorize appropriations for fiscal year 2007 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes"
103,H RES 774,On Agreeing to the Resolution,26-Apr-2006,2:32 PM,"Providing for consideration of the bill (H.R. 5020) to authorize appropriations for fiscal year 2007 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes"
104,H CON RES 365,On Motion to Suspend the Rules and Agree,26-Apr-2006,2:40 PM,"Urging the Government of China to reinstate all licenses of Gao Zhisheng and his law firm, remove all legal and political obstacles for lawyers attempting to defend criminal cases in China, including politically sensitive cases, and reverse law and practice in China so that it conforms to international standards"
105,H R 282,"On Motion to Suspend the Rules and Pass, as Amended",26-Apr-2006,2:49 PM,To hold the current regime in Iran accountable for its threatening behavior and to support a transition to democracy in Iran
106,H R 5020,On Agreeing to the Amendment,26-Apr-2006,5:13 PM,
107,H R 5020,On Motion to Recommit with Instructions,26-Apr-2006,5:46 PM,Intelligence Authorization for Fiscal Year 2007
108,H R 5020,On Passage,26-Apr-2006,5:58 PM,Intelligence Authorization for Fiscal Year 2007
109,H R 4297,On Motion to Instruct Conferees,27-Apr-2006,5:27 PM,Tax Relief Extension Reconciliation Act
110,H RES 783,On Agreeing to the Resolution,27-Apr-2006,5:46 PM,"Providing for consideration of the bill (H.R. 4975) to provide greater transparency with respect to lobbying activities, and for othe purposes"
111,H RES 697,"On Motion to Suspend the Rules and Agree, as Amended",2-May-2006,6:53 PM,"Congratulating the people and Government of Italy et al. upon the successful completion of the 2006 Olympic Winter Games in Turin, Italy"
112,H CON RES 392,"On Motion to Suspend the Rules and Agree, as Amended",2-May-2006,7:02 PM,Recognizing the 58th anniversary of the independence of the State of Israel
113,H RES 658,"On Motion to Suspend the Rules and Agree, as Amended",2-May-2006,7:19 PM,Supporting the goals and ideals of World Water Day
114,H CON RES 359,On Motion to Suspend the Rules and Agree,3-May-2006,2:47 PM,Authorizing the use of the Capitol Grounds for the District of Columbia Special Olympics Law Enforcement Torch Run
115,H R 5253,On Motion to Suspend the Rules and Pass,3-May-2006,2:57 PM,Federal Energy Price Protection Act
116,H R 5254,On Motion to Suspend the Rules and Pass,3-May-2006,3:06 PM,Refinery Permit Process Schedule Act
117,H R 4975,On Agreeing to the Amendment,3-May-2006,4:46 PM,
118,H R 4975,On Motion to Recommit with Instructions,3-May-2006,5:19 PM,Lobbying Accountability and Transparency Act
119,H R 4975,On Passage,3-May-2006,5:31 PM,Lobbying Accountability and Transparency Act
120,H RES 781,On Motion to Suspend the Rules and Agree,3-May-2006,5:41 PM,"Congratulating charter schools and their students, parents, teachers, and administrators across the United States for their ongoing contributions to education, and for other purposes"
121,H R 4297,On Motion to Instruct Conferees,3-May-2006,8:40 PM,Tax Relief Extension Reconciliation Act
122,H R 2830,On Motion to Instruct Conferees,3-May-2006,8:49 PM,Pension Protection Act of 2005
123,H RES 789,On Ordering the Previous Question,3-May-2006,8:59 PM,"Providing for consideration of H.R. 4954 to improve maritime and cargo security through enhanced layered defenses, and for other purposes."
124,H RES 789,On Agreeing to the Resolution,3-May-2006,9:06 PM,"Providing for consideration of H.R. 4954 to improve maritime and cargo security through enhanced layered defenses, and for other purposes."
125,H R 4954,On Agreeing to the Amendment,4-May-2006,1:55 PM,
126,H R 4954,On Motion to Recommit with Instructions,4-May-2006,2:29 PM,Security and Accountability for Every Port (SAFE) Act
127,H R 4954,On Passage,4-May-2006,2:38 PM,Security and Accountability for Every Port (SAFE) Act
128,H RES 803,On Motion to Suspend the Rules and Agree,9-May-2006,7:01 PM,Providing for concurrence by the House with amendments in the amendments of the Senate to H.R. 1499
129,H R 5037,On Motion to Suspend the Rules and Pass,9-May-2006,7:10 PM,Respect for America’s Fallen Heroes Act
130,H R 3829,On Motion to Suspend the Rules and Pass,9-May-2006,7:29 PM,"To designate the Department of Veterans Affairs Medical Center in Muskogee, Oklahoma, as the Jack C. Montgomery Department of Veterans Affairs Medical Center"
131,H R 5143,"On Motion to Suspend the Rules and Pass, as Amended",10-May-2006,1:35 PM,H-Prize Act
132,H RES 805,On Agreeing to the Resolution,10-May-2006,1:44 PM,Waiving points of order against the conference report to accompany the bill (H.R. 4297) to provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006
133,H RES 806,On Agreeing to the Resolution,10-May-2006,1:53 PM,"Providing for the consideration of H.R. 5122, National Defense Authorization Act for Fiscal Year 2007"
134,H R 4297,On Motion to Recommit with Instructions,10-May-2006,6:08 PM,Tax Relief Extension Reconciliation Act
135,H R 4297,On Agreeing to the Conference Report,10-May-2006,6:16 PM,Tax Relief Extension Reconciliation Act
136,H R 5122,On Agreeing to the Amendment,10-May-2006,6:34 PM,
137,ADJOURN,On Motion to Adjourn,11-May-2006,10:52 AM,
138,ADJOURN,On Motion to Adjourn,11-May-2006,11:28 AM,
139,H RES 811,On Ordering the Previous Question,11-May-2006,12:52 PM,"Providing for the further consideration of H.R. 5122, National Defense Authorization Act for Fiscal Year 2007"
140,H RES 811,On Agreeing to the Resolution,11-May-2006,1:08 PM,"Providing for the further consideration of H.R. 5122, National Defense Authorization Act for Fiscal Year 2007"
141,H R 5122,On Agreeing to the Amendment,11-May-2006,3:46 PM,
142,H R 5122,On Agreeing to the Amendment,11-May-2006,3:57 PM,
143,H R 5122,On Agreeing to the Amendment,11-May-2006,4:08 PM,
144,H R 5122,On Motion to Recommit with Instructions,11-May-2006,4:37 PM,National Defense Authorization Act for Fiscal Year 2007
145,H R 5122,On Passage,11-May-2006,4:45 PM,National Defense Authorization Act for Fiscal Year 2007
146,H RES 802,On Motion to Suspend the Rules and Agree,11-May-2006,4:54 PM,Encouraging all eligible Medicare beneficiaries who have not yet elected enroll in the new Medicare Part D benefit to review the available options and to determine whether enrollment in a Medicare prescription drug plan best meets their current and future needs for prescription drug coverage
147,H R 4200,On Agreeing to the Amendment,17-May-2006,3:12 PM,
148,H R 4200,On Agreeing to the Amendment,17-May-2006,3:21 PM,
149,H R 4200,On Agreeing to the Amendment,17-May-2006,3:29 PM,
150,H R 4200,On Agreeing to the Amendment,17-May-2006,3:37 PM,
151,H R 4200,On Passage,17-May-2006,3:57 PM,Forest Emergency Recovery and Research Act
152,H RES 815,On Agreeing to the Resolution,17-May-2006,4:08 PM,Waiving the requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules
153,H RES 817,On Ordering the Previous Question,17-May-2006,8:27 PM,Providing for further consideration of the concurrent resolution (H. Con. Res. 376) establishing the congressional budget for the United States Government for fiscal year 2007 and setting forth appropriate budgetary levels for fiscal years 2008 through 2011
154,H RES 817,On Agreeing to the Resolution,17-May-2006,8:37 PM,Providing for further consideration of the concurrent resolution (H. Con. Res. 376) establishing the congressional budget for the United States Government for fiscal year 2007 and setting forth appropriate budgetary levels for fiscal years 2008 through 2011
155,H CON RES 376,On Agreeing to the Amendment,17-May-2006,10:01 PM,
156,H CON RES 376,On Agreeing to the Amendment,18-May-2006,12:16 AM,
157,H CON RES 376,On Agreeing to the Amendment,18-May-2006,12:24 AM,
158,H CON RES 376,On Agreeing to the Resolution,18-May-2006,1:02 AM,Congressional Budget for FY 2007
159,H RES 740,"On Motion to Suspend the Rules and Agree, as Amended",18-May-2006,1:10 AM,"Calling on the Government of the United Kingdom to immediately establish a full, independent, public judicial inquiry into the murder of Northern Ireland defense attorney Pat Finucane, as recommended by international Judge Peter Cory as part of the Weston Park agreement and a way forward for the Peace Process"
160,H RES 818,On Ordering the Previous Question,18-May-2006,11:58 AM,"Providing for consideration of the bill (H.R. 5386) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2007, and for other purposes"
161,H RES 818,On Agreeing to the Resolution,18-May-2006,12:07 PM,"Providing for consideration of the bill (H.R. 5386) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2007, and for other purposes"
162,H RES 795,On Motion to Suspend the Rules and Agree,18-May-2006,12:17 PM,"Condemning in the strongest terms the terrorist attacks in Dahab and Northern Sinai, Egypt, on April 24 and 26, 2006"
163,H R 5386,On Agreeing to the Amendment,18-May-2006,6:09 PM,
164,H R 5386,On Agreeing to the Amendment,18-May-2006,6:17 PM,
165,H R 5386,On Agreeing to the Amendment,18-May-2006,6:25 PM,
166,H R 5386,On Agreeing to the Amendment,18-May-2006,6:33 PM,
167,H R 5386,On Agreeing to the Amendment,18-May-2006,6:40 PM,
168,H R 5386,On Agreeing to the Amendment,18-May-2006,6:48 PM,
169,H R 5386,On Agreeing to the Amendment,18-May-2006,9:42 PM,
170,H R 5386,On Agreeing to the Amendment,18-May-2006,9:50 PM,
171,H R 5386,On Agreeing to the Amendment,18-May-2006,9:57 PM,
172,H R 5386,On Passage,18-May-2006,10:16 PM,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2007, and for other purposes"
173,H RES 821,On Ordering the Previous Question,19-May-2006,10:34 AM,"Providing for consideration of the bill (H.R. 5385) making appropriations for the military quality of life functions of the Department of Defense, military construction, the Department of Veterans Affairs and related agencies for the fiscal year ending September 30, 2007, and for other purposes"
174,H RES 821,On Agreeing to the Resolution,19-May-2006,10:43 AM,"Providing for consideration of the bill (H.R. 5385) making appropriations for the military quality of life functions of the Department of Defense, military construction, the Department of Veterans Affairs and related agencies for the fiscal year ending September 30, 2007, and for other purposes"
175,H R 5385,On Agreeing to the Amendment,19-May-2006,2:37 PM,
176,H R 5385,On Passage,19-May-2006,2:54 PM,"Making appropriations for the military quality of life functions of the Department of Defense, military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2007, and for other purposes"
177,S 1235,"On Motion to Suspend the Rules and Pass, as Amended",22-May-2006,6:59 PM,Veterans Benefits Improvement Act
178,H R 3858,On Motion to Suspend the Rules and Pass,22-May-2006,7:07 PM,Pets Evacuation and Transportation Standards Act
179,H RES 830,On Ordering the Previous Question,23-May-2006,11:40 AM,"Providing for consideration of the bill (H.R. 5384) making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2007, and for other purposes"
180,H RES 830,On Agreeing to the Resolution,23-May-2006,11:49 AM,"Providing for consideration of the bill (H.R. 5384) making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2007, and for other purposes"
181,H R 4681,"On Motion to Suspend the Rules and Pass, as Amended",23-May-2006,11:57 AM,Palestinian Anti-Terrorism Act
182,H R 5384,On Agreeing to the Amendment,23-May-2006,5:17 PM,
183,H R 5384,On Agreeing to the Amendment,23-May-2006,5:26 PM,
184,H R 5384,On Agreeing to the Amendment,23-May-2006,5:35 PM,
185,H R 5384,On Agreeing to the Amendment,23-May-2006,5:47 PM,
186,H R 5384,On Agreeing to the Amendment,23-May-2006,5:55 PM,
187,H R 5384,On Agreeing to the Amendment,23-May-2006,6:02 PM,
188,H R 5384,On Agreeing to the Amendment,23-May-2006,6:11 PM,
189,H R 5384,On Agreeing to the Amendment,23-May-2006,8:46 PM,
190,H R 5384,On Agreeing to the Amendment,23-May-2006,8:50 PM,
191,H R 5384,On Agreeing to the Amendment,23-May-2006,8:54 PM,
192,H R 5384,On Agreeing to the Amendment,23-May-2006,8:58 PM,
193,H R 5384,On Passage,23-May-2006,9:17 PM,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2007, and for other purposes"
194,H RES 832,On Ordering the Previous Question,24-May-2006,2:15 PM,"Providing for consideration of the bill (H.R. 5427) making appropriations for energy and water development for the fiscal year ending September 30, 2007, and for other purposes"
195,H RES 832,On Agreeing to the Resolution,24-May-2006,2:24 PM,"Providing for consideration of the bill (H.R. 5427) making appropriations for energy and water development for the fiscal year ending September 30, 2007, and for other purposes"
196,H R 5427,On Agreeing to the Amendment,24-May-2006,6:53 PM,
197,H R 5427,On Agreeing to the Amendment,24-May-2006,7:01 PM,
198,H R 5427,On Agreeing to the Amendment,24-May-2006,7:08 PM,
199,H R 5427,On Agreeing to the Amendment,24-May-2006,7:16 PM,
200,H R 5427,On Agreeing to the Amendment,24-May-2006,7:22 PM,
201,H R 5427,On Agreeing to the Amendment,24-May-2006,7:29 PM,
202,H R 5427,On Agreeing to the Amendment,24-May-2006,10:02 PM,
203,H R 5427,On Agreeing to the Amendment,24-May-2006,10:09 PM,
204,H R 5427,On Agreeing to the Amendment,24-May-2006,10:16 PM,
205,H R 5427,On Agreeing to the Amendment,24-May-2006,10:22 PM,
206,H R 5427,On Passage,24-May-2006,10:40 PM,"Making appropriations for energy and water development for the fiscal year ending September 30, 2007, and for other purposes"
207,H RES 835,On Agreeing to the Resolution,25-May-2006,12:30 PM,"Providing for consideration of the bill (H.R. 5429) to direct the Secretary of the Interior to establish and implement a competitive oil and gas leasing program that will result in a program for the exploration, development and production of the oil and gas resources of the Coastal Plain of Alaska"
208,H R 5429,On Motion to Recommit with Instructions,25-May-2006,3:22 PM,American-Made Energy and Good Jobs Act
209,H R 5429,On Passage,25-May-2006,3:31 PM,American-Made Energy and Good Jobs Act
210,H RES 836,On Ordering the Previous Question,25-May-2006,3:40 PM,"Providing for the consideration of H.R. 5441, Department of Homeland Security Appropriations Act, 2007"
211,H R 5441,On Agreeing to the Amendment,25-May-2006,6:41 PM,
212,H R 5441,On Agreeing to the Amendment,25-May-2006,6:46 PM,
213,H R 5441,On Agreeing to the Amendment,25-May-2006,6:52 PM,
214,H R 5441,On Agreeing to the Amendment,25-May-2006,6:55 PM,
215,H R 5441,On Agreeing to the Amendment,25-May-2006,6:59 PM,
216,H R 5441,On Agreeing to the Amendment,25-May-2006,7:03 PM,
217,H R 5441,On Agreeing to the Amendment,25-May-2006,7:06 PM,
218,H R 5441,On Agreeing to the Amendment,25-May-2006,7:16 PM,
219,H R 5441,On Agreeing to the Amendment,25-May-2006,9:50 PM,
220,H R 5441,On Agreeing to the Amendment,25-May-2006,9:55 PM,
221,H R 5441,On Agreeing to the Amendment,25-May-2006,10:00 PM,
222,H R 5441,On Agreeing to the Amendment,25-May-2006,10:06 PM,
