383,DeFazio,D,OR,
384,McCrery,R,LA,
385,Kind (WI),D,WI,
386,Ortiz,D,TX,
387,Snowbarger,R,KS,
388,Gibbons,R,NV,
389,Pallone,D,NJ,
390,Kanjorski,D,PA,
391,Thornberry,R,TX,
392,Castle,R,DE,
393,Kucinich,D,OH,
394,Hostettler,R,IN,
395,Houghton,R,NY,
396,Snyder,D,AR,
397,"Smith, Linda",R,WA,
398,Emerson,R,MO,
399,Hefley,R,CO,
400,Kennelly,D,CT,
401,Riggs,R,CA,
402,Waters,D,CA,
403,Largent,R,OK,
404,Skaggs,D,CO,
405,McCarthy (MO),D,MO,
406,McGovern,D,MA,
407,Ballenger,R,NC,
408,Roemer,D,IN,
409,Stearns,R,FL,
410,"Johnson, E. B.",D,TX,
411,Filner,D,CA,
412,Goode,D,VA,
413,Waxman,D,CA,
414,Dunn,R,WA,
415,Clayton,D,NC,
416,Shuster,R,PA,
417,DeLay,R,TX,
418,Collins,R,GA,
419,Royce,R,CA,
420,Boswell,D,IA,
421,Burton,R,IN,
422,Stabenow,D,MI,
423,White,R,WA,
424,Sanchez,D,CA,
425,Boehner,R,OH,
426,Oberstar,D,MN,
427,Ros-Lehtinen,R,FL,
428,Harman,D,CA,
429,Bunning,R,KY,
430,Rogers,R,KY,
431,Fazio,D,CA,
432,Mascara,D,PA,
433,Coble,R,NC,
434,McDade,R,PA,
435,Peterson (MN),D,MN,
436,Wise,D,WV,
437,Kennedy (RI),D,RI,
438,Wexler,D,FL,
439,Brown (OH),D,OH,
440,Sessions,R,TX,
